순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","컴퓨터/모바일","쉽게 풀어쓴 C언어 Express","8970509577","9788970509570","93000","생능출판사","천인국 지음","30,000","30,000","0","0%","900점","20180820","23566"
"2","컴퓨터/모바일","두근두근 파이썬","8970508937","9788970508931","93000","생능출판사","천인국 지음","24,000","24,000","0","0%","720점","20170116","16833"
"3","컴퓨터/모바일","C언어로 쉽게 풀어쓴 자료구조","8970509712","9788970509716","93560","생능출판사","천인국.공용해.하상호 지음","29,000","29,000","0","0%","870점","20190222","14366"
"4","컴퓨터/모바일","HTML5 웹 프로그래밍 입문","K642635843","9791156644552","93000","한빛아카데미(교재)","윤인성 지음","26,000","26,000","0","0%","1,300점","20190720","8590"
"5","컴퓨터/모바일","컴퓨팅 사고 Level Up 소프트 파워 with 스크래치","K382637012","9791188831418","","연두에디션","김호다 외 지음","23,000","23,000","0","0%","0점","20200217","7040"
"6","컴퓨터/모바일","유튜브 영상 편집을 위한 프리미어 프로","K772636739","9791188621811","13000","제이펍","조블리(조애리) 지음","23,000","20,700","2,300","10%","1,150점","20200117","14835"
"7","컴퓨터/모바일","Do it! 점프 투 파이썬","K582635822","9791163030911","13000","이지스퍼블리싱","박응용 지음","18,800","16,920","1,880","10%","940점","20190620","18729"
"8","컴퓨터/모바일","명품 HTML5+CSS3+Javascript 웹 프로그래밍","8970508880","9788970508887","93000","생능출판사","황기태 지음","28,000","28,000","0","0%","840점","20170116","9553"
"9","컴퓨터/모바일","명품 JAVA Programming","897050947X","9788970509471","93000","생능출판사","황기태.김효수 지음","33,000","33,000","0","0%","990점","20180601","13065"
"10","컴퓨터/모바일","맛있는 디자인 포토샵 & 일러스트레이터 CC 2020","K932636333","9791162242582","13000","한빛미디어","빨간고래 (박정아).윤이사라 지음","22,000","19,800","2,200","10%","1,100점","20200130","10715"
"11","컴퓨터/모바일","혼자 공부하는 파이썬","K432635210","9791162241882","94000","한빛미디어","윤인성 지음","18,000","16,200","1,800","10%","900점","20190610","24677"
"12","컴퓨터/모바일","CODE 코드 (반양장)","8966261256","9788966261253","14000","인사이트","찰스 펫졸드 지음, 김현규 옮김","25,000","22,500","2,500","10%","1,250점","20150125","6898"
"13","컴퓨터/모바일","디지털 논리회로","K512433731","9791156641889","93000","한빛아카데미(교재)","임석구.홍경호 지음","27,000","27,000","0","0%","0점","20150706","9155"
"14","컴퓨터/모바일","명품 C++ Programming","8970509437","9788970509433","93000","생능출판사","황기태 지음","30,000","30,000","0","0%","900점","20180305","9417"
"15","컴퓨터/모바일","소프트웨어 중심사회의 컴퓨터개론","K602534733","9791185578392","93000","인피니티북스","강환수 외 지음","27,000","27,000","0","0%","1,350점","20190228","10151"
"16","컴퓨터/모바일","컴퓨터 개론","897050933X","9788970509334","93000","생능출판사","김대수 지음","26,000","26,000","0","0%","780점","20171205","8598"
"17","컴퓨터/모바일","리팩터링 2판 (리팩토링 개정판)","K932638523","9791162242742","93000","한빛미디어","마틴 파울러 지음, 개앞맵시 외 옮김","35,000","31,500","3,500","10%","1,750점","20200401","5190"
"18","컴퓨터/모바일","팜 2 : 하늘 농장","K542638327","9791165211004","74500","길벗","홍지연 지음, 지문 그림","12,000","10,800","1,200","10%","600점","20200402","4090"
"19","컴퓨터/모바일","Warming-Up C Programming","K012636101","9791188831203","","연두에디션","천정아 지음","25,000","25,000","0","0%","0점","20191120","6750"
"20","컴퓨터/모바일","DVD와 함께하는 애니메이션 캐릭터 작화 기술","8931459718","9788931459715","13650","영진.com(영진닷컴)","무로이 야스오 지음, 김재훈 옮김","20,000","18,000","2,000","10%","1,000점","20190228","11032"
"21","컴퓨터/모바일","Android Studio를 활용한 안드로이드 프로그래밍","K342636936","9791156644804","93000","한빛아카데미(교재)","우재남.박길식 지음","29,000","29,000","0","0%","1,450점","20200108","7355"
"22","컴퓨터/모바일","스크래치로 배우는 컴퓨팅 사고와 문제해결","K542534654","9791185578422","93000","인피니티북스","천인국.이화민 지음","24,000","24,000","0","0%","1,200점","20190227","4423"
"23","컴퓨터/모바일","돈이 된다! 스마트스토어","K852638585","9791186647424","13320","진서원","엑스브레인 지음","19,800","17,820","1,980","10%","990점","20200309","4810"
"24","컴퓨터/모바일","윤성우의 열혈 C 프로그래밍","8996094056","9788996094050","13000","오렌지미디어","윤성우 지음","25,000","22,500","2,500","10%","1,250점","20101101","33728"
"25","컴퓨터/모바일","앱 인벤터","K042637015","9791156644873","93000","한빛아카데미(교재)","이종원 지음","24,000","24,000","0","0%","1,200점","20200221","3730"
"26","컴퓨터/모바일","회사에서 바로 통하는 엑셀 for starters","K442636320","9791162242544","13000","한빛미디어","전미진 지음","15,000","13,500","1,500","10%","750점","20200106","7990"
"27","컴퓨터/모바일","C언어 콘서트","8970509275","9788970509273","93000","생능출판사","천인국 지음","26,000","26,000","0","0%","780점","20170825","7781"
"28","컴퓨터/모바일","직장인을 위한 실무 엑셀","K552536068","9791160500790","03000","길벗","선양미 지음","21,000","18,900","2,100","10%","1,050점","20190304","33240"
"29","컴퓨터/모바일","처음 만나는 디지털 논리회로","K832535993","9791156642633","93560","한빛아카데미(교재)","임석구.홍경호 지음","22,000","22,000","0","0%","0점","20160725","6726"
"30","컴퓨터/모바일","교실의 미래 구글 클래스룸","8965402360","9788965402367","13000","프리렉","Google Educator Group South Korea 외 지음","20,000","18,000","2,000","10%","1,000점","20190404","6028"
